typ_inond2;datentree;datsortie;id;scenario;emploi_max;hab_perm;est_ref;emploi_min;typ_inond;id_tri
;2019-04-18;;230-69125;02Moy;108;33;f;81;01;FRD_TRI_LYON
;2019-04-18;;114-69074;01For;11;55;f;10;01;FRD_TRI_LYON
;2019-04-18;;331-69143;04Fai;2146;1585;f;1450;01;FRD_TRI_LYON
;2019-04-18;;177-69152;02Moy;92;9;f;62;01;FRD_TRI_LYON
;2019-04-18;;140-69271;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;327-69163;04Fai;170;525;f;135;01;FRD_TRI_LYON
;2019-04-18;;95-69156;01For;2;0;f;2;01;FRD_TRI_LYON
;2019-04-18;;5-69072;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;35-69191;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;101-01423;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;219-69096;02Moy;365;1634;f;213;01;FRD_TRI_LYON
